,open_BTC,high_BTC,low_BTC,close_BTC,volume_BTC,price_treasury,open_treasury,high_treasury,low_treasury,change%_treasury,price_oil,open_oil,high_oil,low_oil,volume_oil,chnage%_oil,price_S&P,open_S&P,high_S&P,low_S&P,volume_S&P,change%_S&P,price_gold,open_gold,high_gold,low_gold,volume_gold,change%_gold
2020-05-13,8821.41,9420.18,8803.97,9321.26,21357.63022841,0.654,0.669,0.674,0.635,-1.89%,25.29,25.3,26.45,24.79,150.86K,-1.90%,"2,820.00","2,865.86","2,874.14","2,793.15",-,-1.75%,"1,747.10","1,729.10","1,750.30","1,729.10",0.01K,0.49%
2020-05-14,9320.85,9943.93,9257.15,9795.34,28752.36041568,0.617,0.644,0.646,0.604,-5.69%,27.56,25.56,27.96,25.18,160.51K,8.98%,"2,852.50","2,794.54","2,852.80","2,766.64",-,1.15%,"1,770.90","1,747.10","1,747.10","1,747.10",0.00K,1.36%
2020-05-15,9795.34,9849.0,9120.0,9312.1,25180.97967322,0.644,0.627,0.649,0.59,4.46%,29.43,27.64,29.92,27.24,108.02K,6.79%,"2,863.70","2,829.95","2,865.01","2,816.78",-,0.39%,"1,786.20","1,776.20","1,781.50","1,776.20",0.45K,0.86%
2020-05-18,9677.45,9957.25,9436.97,9728.52,17710.29958398,0.726,0.641,0.744,0.636,12.90%,31.82,29.53,33.32,29.53,89.38K,8.12%,"2,953.91","2,913.86","2,968.09","2,913.86",-,3.15%,"1,767.90","1,795.40","1,795.40","1,795.40",0.14K,-1.02%
2020-05-19,9728.52,9898.0,9463.22,9783.76,15229.62610784,0.692,0.726,0.745,0.688,-4.71%,32.5,32.83,33.44,31.34,36.07K,2.14%,"2,922.94","2,948.59","2,964.21","2,922.35",-,-1.05%,"1,780.40","1,784.20","1,784.20","1,784.20",0.00K,0.71%
2020-05-20,9783.57,9836.99,9294.54,9509.41,16895.54925055,0.69,0.687,0.721,0.67,-0.23%,33.49,31.89,33.78,31.56,406.43K,3.05%,"2,971.61","2,953.63","2,980.29","2,953.63",-,1.67%,"1,788.20","1,784.00","1,791.20","1,784.00",0.08K,0.44%
2020-05-21,9509.4,9568.0,8800.0,9061.96,28081.22890941,0.68,0.677,0.682,0.654,-1.42%,33.92,33.53,34.66,33.26,372.81K,1.28%,"2,948.51","2,969.95","2,978.50","2,938.57",-,-0.78%,"1,756.40","1,780.10","1,780.10","1,753.60",0.15K,-1.78%
2020-05-22,9059.32,9267.34,8923.5,9168.84,13731.91887098,0.657,0.67,0.674,0.627,-3.34%,33.25,33.95,34.0,30.72,429.04K,-1.98%,"2,955.45","2,948.05","2,956.76","2,933.59",-,0.24%,"1,770.80","1,773.50","1,773.50","1,771.90",0.47K,0.82%
2020-05-26,8900.0,9016.99,8694.23,8844.42,11507.43097855,0.695,0.656,0.708,0.654,5.43%,34.35,33.3,34.81,32.48,466.74K,1.27%,"2,991.77","3,004.08","3,021.72","2,988.17",-,1.23%,"1,745.90","1,762.90","1,764.00","1,762.90",0.08K,1.09%
2020-05-27,8844.41,9230.0,8811.46,9208.53,10936.67835282,0.695,0.69,0.729,0.661,0.00%,32.81,34.14,34.32,31.75,415.25K,-4.48%,"3,036.13","3,015.65","3,036.25","2,969.75",-,1.48%,"1,746.80","1,725.00","1,727.40","1,722.50",0.01K,0.05%
2020-05-28,9208.53,9625.0,9112.0,9580.19,14511.07649252,0.697,0.693,0.713,0.67,0.24%,33.71,32.1,34.21,31.14,440.17K,2.74%,"3,029.73","3,046.61","3,068.67","3,023.40",-,-0.21%,"1,750.30","1,748.80","1,757.30","1,748.80",0.18K,0.20%
2020-05-29,9580.01,9609.02,9330.01,9423.84,10415.42644355,0.653,0.683,0.687,0.643,-6.32%,35.49,33.68,35.77,32.36,443.65K,5.28%,"3,044.31","3,025.17","3,049.17","2,998.61",-,0.48%,"1,773.80","1,748.20","1,771.50","1,748.20",0.11K,1.34%
2020-06-01,9445.83,10428.0,9417.42,10208.96,21676.60828748,0.667,0.64,0.687,0.638,4.07%,35.44,35.21,35.9,34.27,385.71K,-0.14%,"3,055.73","3,038.78","3,062.18","3,031.54",-,0.38%,"1,773.70","1,775.50","1,775.50","1,772.80",0.06K,-0.01%
2020-06-02,10208.96,10237.6,9270.0,9522.46,33220.58268645,0.687,0.649,0.688,0.648,2.92%,36.81,35.56,37.06,35.28,343.48K,3.87%,"3,080.82","3,064.78","3,081.07","3,051.64",-,0.82%,"1,759.60","1,774.50","1,775.30","1,774.50",0.11K,-0.79%
2020-06-03,9521.53,9695.0,9385.22,9668.07,11446.72193696,0.746,0.692,0.771,0.685,8.59%,37.29,36.86,38.18,35.88,494.25K,1.30%,"3,122.87","3,098.90","3,130.94","3,098.90",-,1.36%,"1,732.80","1,760.00","1,760.00","1,727.50",0.45K,-1.52%
2020-06-04,9668.06,9888.0,9450.0,9788.03,12441.27298837,0.825,0.756,0.828,0.736,10.63%,37.41,36.76,37.62,36.38,307.61K,0.32%,"3,112.35","3,111.56","3,128.91","3,090.41",-,-0.34%,"1,759.30","1,747.60","1,752.00","1,747.60",0.16K,1.53%
2020-06-05,9791.96,9855.0,9585.44,9613.21,12495.89785858,0.893,0.817,0.959,0.799,8.29%,39.55,37.33,39.68,37.05,396.86K,5.72%,"3,193.93","3,163.84","3,211.72","3,163.84",-,2.62%,"1,716.00","1,741.70","1,741.70","1,704.60",0.11K,-2.46%
2020-06-08,9750.12,9815.0,9632.79,9781.51,8533.83614916,0.878,0.902,0.932,0.862,-2.41%,38.19,39.41,40.44,37.96,416.64K,-3.44%,"3,232.39","3,199.92","3,233.13","3,196.00",-,1.20%,"1,738.50","1,739.40","1,739.40","1,739.40",0.05K,1.31%
2020-06-09,9781.51,9886.0,9567.33,9779.41,10329.87714811,0.824,0.872,0.872,0.802,-6.24%,38.94,38.22,39.1,37.07,396.03K,1.96%,"3,207.18","3,213.32","3,222.71","3,193.11",-,-0.78%,"1,755.00","1,755.20","1,757.60","1,755.20",0.54K,0.95%
2020-06-10,9779.7,10018.67,9690.0,9894.04,12965.42597405,0.736,0.824,0.834,0.726,-10.62%,39.6,38.5,39.91,37.73,385.87K,1.69%,"3,190.14","3,213.42","3,223.27","3,181.49",-,-0.53%,"1,753.50","1,760.90","1,760.90","1,753.30",0.32K,-0.09%
2020-06-11,9894.35,9973.25,9050.0,9268.16,26779.8793933,0.666,0.72,0.73,0.649,-9.58%,36.34,39.09,39.09,35.41,513.91K,-8.23%,"3,002.10","3,123.53","3,123.53","2,999.49",-,-5.89%,"1,771.30","1,784.10","1,786.40","1,762.30",0.81K,1.02%
2020-06-12,9268.16,9552.87,9227.0,9464.17,10992.51647836,0.71,0.677,0.721,0.664,6.65%,36.26,36.26,36.99,34.48,406.51K,-0.22%,"3,041.31","3,071.04","3,088.42","2,984.47",-,1.31%,"1,768.10","1,780.40","1,780.50","1,780.40",0.56K,-0.18%
2020-06-15,9328.63,9499.0,8895.01,9432.53,18589.28586581,0.72,0.666,0.723,0.653,1.39%,37.12,36.03,37.26,34.36,387.55K,2.37%,"3,066.59","2,993.76","3,079.76","2,965.66",-,0.83%,"1,758.50","1,770.30","1,770.30","1,760.00",0.02K,-0.54%
2020-06-16,9432.57,9592.04,9381.0,9526.25,10345.29526997,0.741,0.756,0.784,0.723,2.97%,38.38,37.05,39.06,36.38,366.32K,3.39%,"3,124.74","3,131.00","3,153.45","3,076.06",-,1.90%,"1,768.20","1,770.00","1,770.00","1,770.00",0.20K,0.55%
2020-06-17,9526.25,9558.48,9227.03,9457.51,8937.92623229,0.733,0.763,0.763,0.725,-1.11%,37.96,37.93,38.75,37.21,239.52K,-1.09%,"3,113.49","3,136.13","3,141.16","3,108.03",-,-0.36%,"1,767.40","1,768.20","1,768.20","1,768.20",0.02K,-0.05%
2020-06-18,9457.51,9482.66,9267.18,9376.14,6300.5664912,0.707,0.731,0.731,0.692,-3.59%,38.84,37.74,38.97,37.11,113.38K,2.32%,"3,115.34","3,101.64","3,120.00","3,093.51",-,0.06%,"1,761.90","1,775.00","1,775.00","1,762.30",0.08K,-0.31%
2020-06-19,9376.14,9430.0,9229.0,9301.91,7871.9637482,0.694,0.707,0.745,0.687,-1.85%,39.75,38.85,40.49,38.4,64.11K,2.34%,"3,097.74","3,140.29","3,155.53","3,083.11",-,-0.56%,"1,782.10","1,767.00","1,786.90","1,761.80",0.52K,1.15%
2020-06-22,9286.14,9792.0,9267.58,9690.74,11775.73858785,0.71,0.695,0.712,0.674,2.38%,40.46,39.18,40.7,39.12,29.89K,1.79%,"3,117.86","3,094.42","3,120.92","3,079.39",-,0.65%,"1,794.70","1,787.00","1,798.40","1,783.10",0.07K,0.71%
2020-06-23,9690.67,9724.53,9572.22,9623.56,7946.97355694,0.715,0.712,0.733,0.679,0.69%,40.37,40.68,41.63,39.76,368.73K,-0.22%,"3,131.29","3,138.70","3,154.90","3,127.12",-,0.43%,"1,809.70","1,803.00","1,803.00","1,803.00",0.26K,0.84%
2020-06-24,9623.56,9663.38,9195.0,9285.91,13410.75869027,0.679,0.717,0.73,0.676,-5.05%,38.01,39.99,40.54,37.31,499.49K,-5.85%,"3,050.33","3,114.40","3,115.01","3,032.13",-,-2.59%,"1,805.10","1,806.50","1,806.50","1,806.50",0.30K,-0.25%
2020-06-25,9285.94,9335.0,8979.07,9243.51,13529.05626726,0.682,0.674,0.689,0.656,0.49%,38.72,38.05,39.23,37.08,451.64K,1.87%,"3,083.76","3,046.60","3,086.25","3,024.01",-,1.10%,"1,800.90","1,800.00","1,800.00","1,800.00",0.05K,-0.23%
2020-06-26,9242.98,9291.73,9027.62,9155.42,10702.37319002,0.64,0.682,0.686,0.632,-6.24%,38.49,39.09,39.35,37.79,356.71K,-0.59%,"3,009.05","3,073.20","3,073.73","3,004.63",-,-2.42%,"1,810.80","1,798.20","1,814.00","1,798.00",0.10K,0.55%
2020-06-29,9113.23,9236.75,9014.0,9184.45,8658.42672493,0.627,0.632,0.656,0.622,-0.78%,39.7,37.96,39.89,37.5,343.91K,3.14%,"3,053.24","3,018.59","3,053.89","2,999.74",-,1.47%,"1,812.60","1,816.50","1,816.50","1,811.20",0.09K,0.10%
2020-06-30,9188.79,9201.0,9059.6,9136.2,6820.86740899,0.658,0.628,0.666,0.618,4.96%,39.27,39.64,40.08,38.85,370.06K,-1.08%,"3,100.29","3,050.20","3,111.51","3,047.83",-,1.54%,"1,833.20","1,816.90","1,835.00","1,813.90",0.04K,1.14%
2020-07-01,9135.91,9297.2,9088.0,9239.97,7550.15999655,0.676,0.658,0.702,0.658,2.75%,39.82,39.84,40.58,39.05,407.17K,1.40%,"3,115.86","3,105.92","3,128.44","3,101.17",-,0.50%,"1,814.80","1,830.00","1,838.00","1,830.00",0.45K,-1.00%
2020-07-02,9239.41,9265.0,8938.0,9091.53,10774.18558946,0.669,0.679,0.724,0.664,-0.96%,40.65,39.78,40.74,39.46,347.10K,2.08%,"3,130.01","3,143.64","3,165.81","3,124.52",-,0.45%,"1,825.00","1,799.00","1,821.30","1,798.80",0.17K,0.56%
2020-07-06,9074.37,9375.9,9061.59,9343.31,9959.28200198,0.678,0.676,0.712,0.674,0.24%,40.63,40.31,41.08,39.84,373.24K,0.87%,"3,179.72","3,155.29","3,182.59","3,155.29",-,1.59%,"1,830.80","1,825.80","1,828.60","1,825.80",1.74K,2.42%
2020-07-07,9343.31,9379.34,9201.57,9253.94,6326.83865418,0.64,0.679,0.691,0.633,-5.58%,40.62,40.68,40.95,39.9,256.60K,-0.02%,"3,145.32","3,166.44","3,184.15","3,142.93",-,-1.08%,"1,851.80","1,833.90","1,853.60","1,833.90",0.30K,1.15%
2020-07-08,9253.94,9475.0,9232.2,9435.28,10135.31536748,0.666,0.646,0.674,0.641,4.11%,40.9,40.48,41.08,40.3,286.74K,0.69%,"3,169.94","3,153.07","3,171.80","3,136.53",-,0.78%,"1,871.20","1,851.80","1,867.60","1,851.80",0.25K,1.05%
2020-07-09,9435.28,9446.62,9154.79,9236.95,8450.14110132,0.613,0.664,0.666,0.599,-7.88%,39.62,40.87,40.99,39.27,367.39K,-3.13%,"3,152.05","3,176.17","3,179.78","3,115.70",-,-0.56%,"1,854.00","1,871.90","1,871.90","1,871.90",0.12K,-0.92%
2020-07-10,9236.95,9322.23,9118.0,9291.05,6892.47061091,0.643,0.618,0.648,0.569,4.81%,40.55,39.58,40.77,38.54,393.15K,2.35%,"3,185.04","3,152.47","3,186.82","3,136.22",-,1.05%,"1,852.00","1,853.70","1,853.70","1,851.30",0.12K,-0.11%
2020-07-13,9303.38,9339.61,9193.52,9236.92,8698.43618823,0.618,0.63,0.664,0.617,-3.83%,40.1,40.35,40.72,39.47,370.72K,-1.11%,"3,155.22","3,205.08","3,235.32","3,149.43",-,-0.94%,"1,864.80","1,857.30","1,858.30","1,857.30",0.10K,0.69%
2020-07-14,9236.91,9280.0,9100.0,9256.94,7497.56309216,0.625,0.623,0.635,0.6,1.07%,40.29,39.6,40.57,39.07,426.97K,0.47%,"3,197.52","3,141.11","3,200.95","3,127.66",-,1.34%,"1,862.70","1,850.00","1,863.90","1,850.00",0.06K,-0.11%
2020-07-15,9256.94,9273.98,9154.01,9190.16,7196.32866271,0.633,0.638,0.658,0.617,1.31%,41.2,40.55,41.26,40.08,352.54K,2.26%,"3,226.56","3,225.98","3,238.28","3,200.76",-,0.91%,"1,862.80","1,862.30","1,863.10","1,854.30",0.10K,0.01%
2020-07-16,9190.8,9216.02,9005.0,9130.11,8765.69858912,0.618,0.628,0.635,0.6,-2.34%,40.75,40.97,41.18,40.52,200.10K,-1.09%,"3,215.57","3,208.36","3,220.39","3,198.59",-,-0.34%,"1,847.40","1,856.00","1,856.00","1,856.00",0.03K,-0.83%
2020-07-17,9130.93,9182.99,9054.99,9154.29,6423.74716202,0.623,0.617,0.632,0.599,0.79%,40.59,40.72,40.9,40.02,88.22K,-0.39%,"3,224.73","3,224.21","3,233.52","3,205.65",-,0.28%,"1,854.30","1,840.60","1,851.00","1,840.10",0.01K,0.37%
2020-07-20,9214.01,9223.51,9131.0,9161.05,5815.33084221,0.613,0.628,0.63,0.602,-1.57%,40.81,40.64,40.91,39.83,60.18K,0.54%,"3,251.84","3,224.29","3,258.61","3,215.16",-,0.84%,"1,860.80","1,862.00","1,862.40","1,862.00",0.03K,0.35%
2020-07-21,9161.05,9438.0,9157.04,9394.14,9603.9151125,0.605,0.612,0.627,0.594,-1.34%,41.96,40.65,42.4,40.64,25.62K,2.82%,"3,257.30","3,268.52","3,277.29","3,247.77",-,0.17%,"1,891.90","1,867.60","1,891.30","1,867.00",0.14K,1.67%
2020-07-22,9394.14,9567.77,9277.0,9536.18,10362.35264843,0.6,0.605,0.607,0.582,-0.81%,41.9,41.54,42.03,41.14,333.65K,-0.14%,"3,276.02","3,254.86","3,279.32","3,253.10",-,0.57%,"1,919.00","1,909.50","1,924.20","1,906.40",0.13K,1.43%
2020-07-23,9536.2,9686.0,9450.04,9613.24,12992.9719195,0.577,0.599,0.6,0.574,-3.83%,41.07,41.95,42.36,40.83,389.41K,-1.98%,"3,235.66","3,271.64","3,279.99","3,222.66",-,-1.23%,"1,947.20","1,923.30","1,945.00","1,923.30",0.57K,1.47%
2020-07-24,9613.24,9645.55,9475.7,9551.21,9798.89346586,0.587,0.581,0.597,0.556,1.70%,41.29,41.06,41.67,40.66,353.16K,0.54%,"3,215.63","3,218.58","3,227.26","3,200.05",-,-0.62%,"1,957.50","1,941.80","1,961.00","1,941.00",0.31K,0.53%
2020-07-27,9941.0,11420.0,9935.0,11048.91,41850.57309953,0.615,0.59,0.618,0.569,3.59%,41.6,41.26,41.82,40.48,377.71K,0.75%,"3,239.41","3,219.84","3,241.43","3,214.25",-,0.74%,"1,988.30","1,964.80","1,999.90","1,964.80",0.18K,1.57%
2020-07-28,11048.05,11259.0,10575.0,10934.23,26011.37513947,0.579,0.615,0.637,0.576,-5.87%,41.04,41.65,41.93,40.85,276.80K,-1.35%,"3,218.44","3,234.27","3,243.72","3,216.17",-,-0.65%,"1,996.60","2,008.10","2,028.10","1,967.20",0.16K,0.42%
2020-07-29,10934.22,11350.0,10843.47,11110.12,18556.27794282,0.577,0.579,0.595,0.564,-0.29%,41.27,41.13,41.57,40.93,295.86K,0.56%,"3,258.44","3,227.22","3,264.74","3,227.22",-,1.24%,"2,007.70","2,001.00","2,025.00","2,001.00",0.16K,0.56%
2020-07-30,11108.16,11188.65,10811.0,11115.95,12408.70410754,0.545,0.572,0.579,0.536,-5.66%,39.92,41.32,41.39,38.72,487.33K,-3.27%,"3,246.22","3,231.76","3,250.92","3,204.13",-,-0.38%,"1,997.70","2,016.00","2,016.00","1,988.90",0.03K,-0.50%
2020-07-31,11115.99,11460.0,10975.0,11351.62,15747.02174952,0.533,0.543,0.564,0.52,-2.11%,40.27,40.34,40.55,39.66,318.79K,0.88%,"3,271.12","3,270.45","3,272.17","3,220.26",-,0.77%,"2,017.10","2,005.20","2,035.00","2,005.20",0.27K,0.97%
2020-08-03,11067.46,11486.6,10911.74,11233.13,13783.34037417,0.554,0.535,0.572,0.535,3.98%,41.01,40.39,41.24,39.58,338.33K,1.84%,"3,294.61","3,288.26","3,302.73","3,284.53",-,0.72%,"2,017.70","2,026.90","2,040.00","2,015.40",0.42K,0.03%
2020-08-04,11233.16,11417.11,11006.16,11197.04,12074.47851394,0.512,0.556,0.563,0.505,-7.67%,41.7,40.78,42.08,40.14,451.58K,1.68%,"3,306.51","3,289.92","3,306.84","3,286.37",-,0.36%,"2,052.60","2,024.60","2,068.40","2,018.70",0.39K,1.73%
2020-08-05,11197.05,11798.87,11073.7,11756.75,16637.78082145,0.549,0.512,0.553,0.507,7.35%,42.19,41.56,43.52,41.47,491.27K,1.18%,"3,327.77","3,317.37","3,330.77","3,317.37",-,0.64%,"2,081.70","2,070.00","2,100.00","2,063.00",0.38K,1.42%
2020-08-06,11756.75,11916.68,11580.19,11773.89,18053.08146864,0.538,0.546,0.556,0.504,-2.09%,41.95,42.19,42.65,41.61,359.61K,-0.57%,"3,349.16","3,323.17","3,351.03","3,318.14",-,0.64%,"2,103.20","2,086.70","2,115.00","2,085.90",0.40K,1.03%
2020-08-07,11773.89,11920.0,11350.0,11606.52,23761.51075422,0.566,0.533,0.569,0.516,5.17%,41.22,41.97,42.22,41.06,399.00K,-1.74%,"3,351.28","3,340.05","3,352.54","3,328.72",-,0.06%,"2,061.40","2,120.00","2,120.00","2,060.00",0.39K,-1.99%
2020-08-10,11688.25,12086.22,11470.01,11899.73,22152.58893673,0.581,0.571,0.581,0.544,2.62%,41.94,41.5,42.33,41.17,367.80K,1.75%,"3,360.47","3,356.04","3,363.29","3,335.44",-,0.27%,"2,072.40","2,068.70","2,080.00","2,065.00",0.09K,0.53%
2020-08-11,11899.87,11943.0,11120.0,11388.53,20706.60991744,0.643,0.572,0.661,0.569,10.80%,41.61,41.98,42.94,41.48,432.84K,-0.79%,"3,333.69","3,370.34","3,381.01","3,326.44",-,-0.80%,"1,976.10","2,056.50","2,062.20","1,953.50",0.34K,-4.65%
2020-08-12,11388.88,11625.0,11148.54,11566.45,12809.98917913,0.673,0.632,0.691,0.625,4.65%,42.67,41.62,42.9,41.53,397.83K,2.55%,"3,380.35","3,355.46","3,387.89","3,355.46",-,1.40%,"1,976.50","1,955.60","1,986.90","1,913.00",0.11K,0.02%
2020-08-13,11566.44,11802.09,11274.14,11795.95,15369.40392513,0.717,0.674,0.727,0.649,6.60%,42.24,42.57,42.84,42.09,329.51K,-1.01%,"3,373.43","3,372.95","3,387.24","3,363.35",-,-0.20%,"1,998.30","1,973.90","1,993.90","1,971.60",0.03K,1.10%
2020-08-14,11795.95,11865.97,11651.24,11779.0,13797.82000137,0.709,0.717,0.722,0.69,-1.13%,42.01,42.33,42.57,41.62,310.87K,-0.54%,"3,372.85","3,368.66","3,378.51","3,361.64",-,-0.02%,"1,976.80","1,996.30","1,996.90","1,971.00",0.13K,-1.08%
2020-08-17,11918.84,12486.61,11775.0,12304.26,23814.66050181,0.692,0.713,0.714,0.667,-2.96%,42.89,42.24,42.97,41.8,208.43K,2.09%,"3,381.99","3,380.86","3,387.59","3,379.22",-,0.27%,"2,021.60","1,981.70","2,012.30","1,971.60",0.11K,2.27%
2020-08-18,12303.98,12400.0,11825.0,11950.0,18628.91287504,0.67,0.682,0.688,0.657,-3.05%,42.89,42.79,42.99,42.11,111.63K,0.00%,"3,389.78","3,387.04","3,395.06","3,370.15",-,0.23%,"2,036.20","2,024.40","2,041.10","2,023.20",0.08K,0.72%
2020-08-19,11954.22,12024.83,11569.0,11758.87,16646.31489492,0.685,0.664,0.69,0.646,2.18%,42.93,42.6,43.03,42.36,81.30K,0.09%,"3,374.85","3,392.51","3,399.54","3,369.66",-,-0.44%,"1,992.50","2,036.00","2,036.00","1,952.40",0.33K,-2.15%
2020-08-20,11758.87,11892.16,11671.48,11864.26,8801.17750309,0.652,0.677,0.68,0.638,-4.74%,42.58,42.74,42.79,41.5,27.43K,-0.82%,"3,385.51","3,360.48","3,390.80","3,354.69",-,0.32%,"1,969.50","1,955.60","1,976.00","1,955.50",0.09K,-1.15%
2020-08-21,11864.26,11884.99,11480.0,11529.22,14865.37875873,0.636,0.649,0.662,0.623,-2.48%,42.34,42.75,42.96,41.46,345.37K,-0.56%,"3,397.16","3,386.01","3,399.96","3,379.31",-,0.34%,"1,969.60","1,982.30","1,982.30","1,959.90",0.12K,0.01%
2020-08-24,11650.01,11823.62,11592.91,11753.85,7253.01922609,0.654,0.632,0.657,0.622,3.59%,42.62,42.48,42.89,42.23,294.73K,0.66%,"3,431.28","3,418.09","3,432.09","3,413.13",-,1.00%,"1,962.30","1,962.50","1,979.40","1,955.90",0.11K,-0.37%
2020-08-25,11753.26,11769.76,11102.73,11324.92,14348.63533296,0.688,0.656,0.716,0.654,5.21%,43.35,42.36,43.57,42.31,330.80K,1.71%,"3,443.62","3,435.95","3,444.21","3,425.84",-,0.36%,"1,945.20","1,965.20","1,965.20","1,944.00",0.02K,-0.87%
2020-08-26,11324.92,11539.99,11254.89,11463.27,9124.5541845,0.688,0.687,0.721,0.685,0.00%,43.39,43.39,43.78,43.0,262.24K,0.09%,"3,478.73","3,449.97","3,481.07","3,444.15",-,1.02%,"1,974.40","1,952.90","1,952.90","1,942.10",0.16K,1.50%
2020-08-27,11463.27,11597.92,11125.0,11330.06,13517.39421459,0.754,0.685,0.756,0.649,9.50%,43.04,43.45,43.5,42.36,320.97K,-0.81%,"3,484.55","3,485.14","3,501.38","3,468.35",-,0.17%,"1,953.10","1,970.10","1,970.30","1,940.70",0.17K,-1.08%
2020-08-28,11330.56,11550.51,11282.09,11535.0,10373.89590327,0.724,0.762,0.789,0.713,-3.90%,42.97,42.98,43.42,42.69,272.80K,-0.16%,"3,508.01","3,494.69","3,509.23","3,484.32",-,0.67%,"1,993.20","1,956.50","1,992.70","1,951.30",0.31K,2.05%
2020-08-31,11716.0,11784.66,11576.0,11655.0,9123.59353747,0.706,0.723,0.749,0.692,-2.48%,42.61,42.91,43.57,42.56,236.88K,-0.84%,"3,500.31","3,509.73","3,514.77","3,493.25",-,-0.22%,"1,999.10","1,991.10","2,002.30","1,991.10",0.28K,0.30%
2020-09-01,11655.0,12086.0,11525.09,11924.22,16057.64432384,0.672,0.713,0.731,0.669,-4.86%,42.76,42.83,43.43,42.72,285.15K,0.35%,"3,526.65","3,507.44","3,528.03","3,494.60",-,0.75%,"1,998.80","2,018.60","2,018.60","1,995.00",0.24K,-0.02%
2020-09-02,11924.22,11950.0,11160.0,11395.48,19721.44316904,0.648,0.675,0.693,0.643,-3.63%,41.51,43.02,43.21,41.23,421.77K,-2.92%,"3,580.84","3,543.76","3,588.11","3,535.23",-,1.54%,"1,964.50","1,988.30","1,990.90","1,959.90",0.70K,-1.72%
2020-09-03,11395.49,11474.99,10005.0,10172.52,30364.24398441,0.636,0.648,0.669,0.604,-1.74%,41.37,41.63,41.79,40.22,417.63K,-0.34%,"3,455.06","3,564.74","3,564.85","3,427.41",-,-3.51%,"1,956.00","1,970.00","1,972.80","1,953.10",0.73K,-0.43%
2020-09-04,10172.13,10638.34,9895.22,10500.05,23366.46467779,0.721,0.628,0.725,0.628,13.34%,39.77,41.25,41.87,39.35,444.18K,-3.87%,"3,426.96","3,453.60","3,479.15","3,349.63",-,-0.81%,"1,952.80","1,956.60","1,959.50","1,951.90",0.17K,-0.16%
2020-09-08,10375.0,10440.91,9819.83,10125.69,15768.31017626,0.682,0.72,0.721,0.664,-5.24%,36.76,39.48,39.59,36.13,720.98K,-6.22%,"3,331.84","3,371.88","3,379.97","3,329.27",-,-2.78%,"1,961.80","1,957.50","1,965.90","1,938.80",0.88K,1.28%
2020-09-09,10126.41,10349.99,9983.34,10224.56,9645.50409232,0.698,0.667,0.71,0.659,2.40%,38.05,36.79,38.45,36.16,455.36K,3.51%,"3,398.96","3,369.82","3,424.77","3,366.84",-,2.01%,"1,972.90","1,952.90","1,973.60","1,946.40",0.21K,0.57%
2020-09-10,10224.56,10489.0,10216.41,10343.23,11237.01908035,0.682,0.698,0.723,0.677,-2.33%,37.3,37.8,38.18,36.93,367.56K,-1.97%,"3,339.19","3,412.56","3,425.55","3,329.25",-,-1.76%,"1,983.20","1,971.10","1,991.40","1,969.40",0.21K,0.52%
2020-09-11,10344.24,10411.44,10200.0,10394.41,7200.29156246,0.669,0.68,0.697,0.664,-1.92%,37.33,37.01,37.82,36.67,363.79K,0.08%,"3,340.97","3,352.70","3,368.95","3,310.47",-,0.05%,"1,967.40","1,971.30","1,975.80","1,966.50",0.10K,-0.80%
2020-09-14,10336.76,10760.62,10253.0,10679.95,13532.95018331,0.676,0.672,0.68,0.651,0.73%,37.26,37.32,37.68,36.82,347.56K,-0.19%,"3,383.54","3,363.56","3,402.93","3,363.56",-,1.27%,"1,983.90","1,974.10","1,987.80","1,972.80",0.12K,0.84%
2020-09-15,10678.41,10950.0,10613.18,10783.75,12634.3292873,0.68,0.674,0.689,0.666,0.73%,38.28,37.28,38.57,37.06,348.86K,2.74%,"3,401.20","3,407.73","3,419.48","3,389.25",-,0.52%,"1,986.40","1,986.10","1,997.50","1,981.00",0.04K,0.13%
2020-09-16,10783.36,11099.95,10662.02,10959.61,11003.70130082,0.698,0.672,0.702,0.656,2.65%,40.16,38.35,40.34,38.35,367.61K,4.91%,"3,385.49","3,411.23","3,428.92","3,384.45",-,-0.46%,"1,990.70","1,989.10","1,997.90","1,985.00",0.11K,0.22%
2020-09-17,10957.06,11044.0,10735.55,10943.61,8885.4490645,0.689,0.69,0.692,0.646,-1.40%,40.97,40.19,41.22,39.42,280.67K,2.02%,"3,357.01","3,346.86","3,375.17","3,328.82",-,-0.84%,"1,969.30","1,970.80","1,974.40","1,965.30",0.13K,-1.07%
2020-09-18,10943.99,11039.88,10813.0,10937.52,8660.059472,0.697,0.689,0.699,0.668,1.21%,41.11,40.97,41.49,40.3,73.76K,0.34%,"3,319.47","3,357.38","3,362.27","3,292.40",-,-1.12%,"1,981.90","1,974.20","1,982.00","1,973.60",0.08K,0.64%
2020-09-21,10920.94,10994.0,10180.0,10416.82,15004.71121349,0.669,0.682,0.692,0.648,-4.00%,39.31,40.98,41.27,38.66,66.20K,-4.38%,"3,281.06","3,285.57","3,285.57","3,229.10",-,-1.16%,"1,930.00","1,978.20","1,978.90","1,913.50",0.19K,-2.62%
2020-09-22,10416.83,10576.82,10355.0,10531.13,7904.25642443,0.671,0.666,0.681,0.659,0.25%,39.6,39.63,40.02,39.0,23.22K,0.74%,"3,315.57","3,295.75","3,320.31","3,270.95",-,1.05%,"1,927.50","1,937.90","1,940.50","1,925.50",0.09K,-0.13%
